~~~Start of file~~~
Timestamp: 2020-04-18 16:30:01.367298

Timestamp: 2020-04-18 16:35:01.140172

Timestamp: 2020-04-18 16:40:01.923984

Timestamp: 2020-04-18 16:45:01.782444

Timestamp: 2020-04-18 16:50:01.519780

Timestamp: 2020-04-18 16:55:01.292608

Timestamp: 2020-04-18 17:00:01.534011

Timestamp: 2020-04-18 17:05:01.328193

Timestamp: 2020-04-18 17:10:01.139129

Timestamp: 2020-04-18 17:15:01.925534

Timestamp: 2020-04-18 17:20:01.743054

Timestamp: 2020-04-18 17:25:01.486647

Timestamp: 2020-04-18 17:30:01.271495

Timestamp: 2020-04-18 17:35:01.155601

Timestamp: 2020-04-18 17:40:02.017393

Timestamp: 2020-04-18 17:45:01.736825

Timestamp: 2020-04-18 17:50:01.460517

Timestamp: 2020-04-18 17:55:01.232903

Timestamp: 2020-04-18 18:00:01.957178

Timestamp: 2020-04-18 18:05:01.714757

Timestamp: 2020-04-18 18:10:01.308575

Timestamp: 2020-04-18 18:15:01.146202

Timestamp: 2020-04-18 18:20:01.910337

